Пол,Сумма.баллов,ЕГЭ...матем.,ЕГЭ...рус.яз.,Аттестат.с.отличием.оценка,ГТО.оценка,Сочинение.оценка,Регион,Тип.насел..пункта,Дата.рождения,День.рождения,Месяц.рождения
МУЖСКОЙ,280,88,69,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.11.1999,14,11
МУЖСКОЙ,279,78,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.11.1999,14,11
МУЖСКОЙ,349,84,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.09.1999,23,9
ЖЕНСКИЙ,342,99,76,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.08.1999,14,8
МУЖСКОЙ,302,76,88,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.09.1999,24,9
ЖЕНСКИЙ,335,88,93,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.07.1999,21,7
МУЖСКОЙ,371,82,100,0,0,2,Кабардино-Балкарская Респ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.01.1999,25,1
МУЖСКОЙ,291,78,100,5,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,31.01.1999,31,1
МУЖСКОЙ,300,80,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.07.1999,7,7
МУЖСКОЙ,302,78,91,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.03.2000,6,3
МУЖСКОЙ,301,76,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.04.2000,11,4
МУЖСКОЙ,322,76,93,0,0,1,Московская обл,ГОРОД,06.02.1999,6,2
ЖЕНСКИЙ,351,84,98,0,0,2,Москва г,ГОРОД,24.11.1999,24,11
МУЖСКОЙ,324,86,100,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.09.1999,27,9
ЖЕНСКИЙ,342,92,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.11.1999,20,11
МУЖСКОЙ,318,90,72,0,0,2,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,22.12.1998,22,12
ЖЕНСКИЙ,317,86,76,5,0,2,Московская обл,ГОРОД,16.04.1999,16,4
ЖЕНСКИЙ,290,72,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.03.2000,6,3
МУЖСКОЙ,307,92,83,0,2,2,Ямало-Ненецкий АО,ГОРОД,16.10.1999,16,10
МУЖСКОЙ,395,88,98,5,2,2,Пензенская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,18.12.1998,18,12
ЖЕНСКИЙ,375,90,88,5,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.07.1999,5,7
ЖЕНСКИЙ,264,80,78,0,0,1,Москва г,ГОРОД,29.11.1999,29,11
ЖЕНСКИЙ,283,90,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.06.1999,1,6
МУЖСКОЙ,305,82,69,0,0,2,Московская обл,ГОРОД,19.10.1999,19,10
МУЖСКОЙ,308,88,66,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.08.1999,2,8
МУЖСКОЙ,341,82,86,5,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,14.09.2000,14,9
ЖЕНСКИЙ,305,88,91,5,0,2,Пензенская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,14.07.1999,14,7
МУЖСКОЙ,351,82,98,0,0,2,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.02.2000,27,2
ЖЕНСКИЙ,330,88,95,5,0,2,Волгоградская обл,ГОРОД,03.09.1997,3,9
МУЖСКОЙ,294,78,88,5,0,1,Курская обл,ГОРОД,16.11.1999,16,11
МУЖСКОЙ,369,88,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.07.1999,9,7
МУЖСКОЙ,336,82,90,0,0,1,Тюменская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.01.1997,14,1
МУЖСКОЙ,345,92,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.08.2000,3,8
МУЖСКОЙ,264,68,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.05.1999,31,5
МУЖСКОЙ,363,86,96,5,2,2,Псковская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,12.01.2000,12,1
МУЖСКОЙ,348,88,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.08.1999,18,8
МУЖСКОЙ,328,82,91,0,0,2,Московская обл,ГОРОД,03.04.1999,3,4
ЖЕНСКИЙ,298,74,98,5,0,1,Московская обл,ГОРОД,23.11.1999,23,11
МУЖСКОЙ,271,68,86,0,0,2,Рязанская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,15.03.1999,15,3
ЖЕНСКИЙ,371,96,78,0,0,3,Челябинская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.07.1999,22,7
ЖЕНСКИЙ,320,86,76,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.12.1999,21,12
МУЖСКОЙ,372,100,96,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.12.1999,23,12
ЖЕНСКИЙ,343,84,88,5,0,2,Татарстан Респ,ГОРОД,06.07.1999,6,7
МУЖСКОЙ,262,76,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.09.1999,18,9
МУЖСКОЙ,289,80,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.01.1999,23,1
МУЖСКОЙ,321,96,93,5,0,2,Москва г,ГОРОД,20.12.1999,20,12
МУЖСКОЙ,383,94,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.08.1999,14,8
МУЖСКОЙ,312,80,78,0,0,1,Белгородская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,25.01.1999,25,1
ЖЕНСКИЙ,376,94,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.02.2000,22,2
МУЖСКОЙ,270,86,81,0,0,2,Красноярский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,13.01.2000,13,1
ЖЕНСКИЙ,383,96,93,5,0,2,Тамбовская обл,ГОРОД,22.07.1999,22,7
МУЖСКОЙ,348,99,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.01.2000,10,1
МУЖСКОЙ,311,96,72,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.09.1999,5,9
ЖЕНСКИЙ,313,90,93,5,0,2,Ростовская обл,ГОРОД,09.07.1999,9,7
МУЖСКОЙ,276,82,73,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.10.1999,21,10
МУЖСКОЙ,359,96,76,0,0,0,Ульяновская обл,ГОРОД,21.03.1995,21,3
МУЖСКОЙ,352,84,76,5,2,2,Коми Респ,ГОРОД,01.04.1999,1,4
ЖЕНСКИЙ,367,92,88,5,0,2,Тамбовская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,19.04.1999,19,4
МУЖСКОЙ,268,72,73,0,0,2,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,27.08.1999,27,8
ЖЕНСКИЙ,314,82,93,5,2,1,Ивановская обл,ГОРОД,10.11.1999,10,11
ЖЕНСКИЙ,283,82,83,5,2,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,01.05.1999,1,5
МУЖСКОЙ,340,84,81,0,0,1,Пермский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,29.06.1999,29,6
ЖЕНСКИЙ,340,82,92,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.01.1997,29,1
МУЖСКОЙ,266,80,76,0,0,2,Орловская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,18.07.1999,18,7
ЖЕНСКИЙ,344,90,67,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.09.2000,19,9
ЖЕНСКИЙ,282,74,91,5,0,2,Московская обл,ГОРОД,14.02.2000,14,2
МУЖСКОЙ,301,72,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.10.1999,25,10
МУЖСКОЙ,251,50,71,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.05.2000,21,5
МУЖСКОЙ,345,88,83,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.02.1999,25,2
МУЖСКОЙ,356,84,88,0,0,2,Коми Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.09.1999,16,9
ЖЕНСКИЙ,347,90,96,5,0,2,Чувашская Респ,ГОРОД,22.03.1999,22,3
МУЖСКОЙ,391,98,86,5,0,2,Ростовская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,28.03.2000,28,3
ЖЕНСКИЙ,362,92,98,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.01.1999,16,1
МУЖСКОЙ,381,92,100,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.12.1999,12,12
ЖЕНСКИЙ,377,86,91,5,0,1,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,17.09.2000,17,9
МУЖСКОЙ,352,76,78,0,0,2,Башкортостан Респ,ГОРОД,24.09.1999,24,9
ЖЕНСКИЙ,297,78,86,5,0,2,Ставропольский край,ГОРОД,14.06.2000,14,6
МУЖСКОЙ,363,100,86,5,0,1,Адыгея Респ,ГОРОД,30.05.1999,30,5
МУЖСКОЙ,275,76,67,0,0,0,Московская обл,ГОРОД,17.12.1999,17,12
ЖЕНСКИЙ,322,82,88,5,0,2,Москва г,ГОРОД,22.11.1998,22,11
МУЖСКОЙ,295,90,81,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.05.1999,18,5
ЖЕНСКИЙ,364,92,88,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.09.1999,25,9
ЖЕНСКИЙ,318,84,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.06.1999,19,6
МУЖСКОЙ,334,86,91,5,0,2,Ростовская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,23.11.1999,23,11
ЖЕНСКИЙ,316,72,96,5,2,0,Рязанская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,11.02.1999,11,2
МУЖСКОЙ,288,74,70,0,2,2,Ханты-Мансийский  АО,ГОРОД,23.02.2000,23,2
МУЖСКОЙ,302,74,88,5,0,2,Ханты-Мансийский  АО,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,02.07.1999,2,7
МУЖСКОЙ,306,80,83,0,0,1,Московская обл,ГОРОД,30.05.2000,30,5
МУЖСКОЙ,335,82,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.08.1999,2,8
ЖЕНСКИЙ,311,86,93,5,0,2,Московская обл,ГОРОД,07.03.1999,7,3
МУЖСКОЙ,256,74,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.04.2000,1,4
ЖЕНСКИЙ,300,80,91,0,0,3,Московская обл,ГОРОД,18.11.1999,18,11
МУЖСКОЙ,318,82,86,5,0,2,Курская обл,ГОРОД,06.08.1999,6,8
МУЖСКОЙ,380,86,98,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.05.1999,14,5
МУЖСКОЙ,308,74,96,5,0,1,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.04.1999,9,4
МУЖСКОЙ,290,80,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.03.1999,6,3
МУЖСКОЙ,291,72,88,0,0,1,Московская обл,ГОРОД,22.06.1999,22,6
МУЖСКОЙ,309,88,73,0,0,2,Воронежская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,02.08.1998,2,8
ЖЕНСКИЙ,310,92,69,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.12.1999,1,12
МУЖСКОЙ,295,78,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.05.2000,5,5
МУЖСКОЙ,300,74,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.08.1999,23,8
ЖЕНСКИЙ,338,86,83,5,0,2,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,08.01.2000,8,1
ЖЕНСКИЙ,326,76,83,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.07.1999,24,7
ЖЕНСКИЙ,317,88,86,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.01.1999,31,1
ЖЕНСКИЙ,308,88,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.06.1999,14,6
МУЖСКОЙ,343,86,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.08.1999,11,8
МУЖСКОЙ,317,86,91,5,0,1,нет регионов,ГОРОД,05.02.2000,5,2
МУЖСКОЙ,345,84,93,0,0,1,Тамбовская обл,ГОРОД,16.09.1999,16,9
МУЖСКОЙ,392,94,93,5,0,2,Пензенская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,14.09.1999,14,9
МУЖСКОЙ,328,86,70,0,0,1,Тамбовская обл,ГОРОД,01.11.1999,1,11
МУЖСКОЙ,334,88,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.07.1999,25,7
МУЖСКОЙ,342,76,71,0,0,1,Башкортостан Респ,ГОРОД,11.04.1999,11,4
ЖЕНСКИЙ,303,82,91,5,0,2,Самарская обл,ГОРОД,30.08.1999,30,8
МУЖСКОЙ,330,91,82,0,0,0,Московская обл,ГОРОД,07.11.1996,7,11
МУЖСКОЙ,293,76,96,0,0,1,Московская обл,ГОРОД,16.05.1999,16,5
ЖЕНСКИЙ,319,70,86,5,0,3,Московская обл,ГОРОД,02.02.1999,2,2
ЖЕНСКИЙ,346,88,96,5,0,3,Москва г,ГОРОД,25.05.1999,25,5
МУЖСКОЙ,399,100,93,5,0,1,Иркутская обл,ГОРОД,17.06.1999,17,6
ЖЕНСКИЙ,375,76,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.05.1999,12,5
МУЖСКОЙ,277,84,70,0,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,18.01.2000,18,1
ЖЕНСКИЙ,307,86,98,0,0,0,Волгоградская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,29.09.1999,29,9
ЖЕНСКИЙ,376,90,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.03.2000,1,3
ЖЕНСКИЙ,254,72,83,0,2,1,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,31.07.1998,31,7
МУЖСКОЙ,306,78,72,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.08.1999,19,8
МУЖСКОЙ,331,92,70,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.11.1999,30,11
МУЖСКОЙ,342,88,78,5,0,2,Московская обл,ГОРОД,15.03.1999,15,3
МУЖСКОЙ,348,88,96,5,0,2,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,06.06.1999,6,6
МУЖСКОЙ,253,56,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.09.1999,9,9
МУЖСКОЙ,239,68,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.05.1999,14,5
МУЖСКОЙ,325,82,96,5,0,2,Нижегородская обл,ГОРОД,16.12.1999,16,12
ЖЕНСКИЙ,352,88,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.11.1999,10,11
МУЖСКОЙ,323,86,88,0,0,0,Московская обл,ГОРОД,29.12.1999,29,12
МУЖСКОЙ,286,90,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.02.2000,22,2
МУЖСКОЙ,331,88,88,0,0,1,Самарская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.08.1998,7,8
МУЖСКОЙ,321,88,86,0,0,0,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,14.09.1999,14,9
МУЖСКОЙ,331,96,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.05.1999,4,5
МУЖСКОЙ,311,86,67,0,0,2,Ставропольский край,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.10.1999,10,10
МУЖСКОЙ,294,78,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.03.1999,31,3
МУЖСКОЙ,360,90,88,0,2,2,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.05.1999,14,5
ЖЕНСКИЙ,371,86,86,5,2,3,Нижегородская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.04.2000,29,4
ЖЕНСКИЙ,381,88,88,5,0,2,Башкортостан Респ,ГОРОД,31.03.1999,31,3
ЖЕНСКИЙ,281,82,81,0,0,1,Московская обл,ГОРОД,27.04.1999,27,4
МУЖСКОЙ,373,96,98,0,0,1,Чувашская Респ,ГОРОД,09.01.1999,9,1
МУЖСКОЙ,324,84,91,0,0,1,Московская обл,ГОРОД,07.10.1999,7,10
МУЖСКОЙ,351,92,86,0,0,2,Башкортостан Респ,ГОРОД,13.11.1998,13,11
ЖЕНСКИЙ,370,99,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.03.2000,27,3
МУЖСКОЙ,318,80,81,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.03.2000,4,3
МУЖСКОЙ,366,100,91,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.08.1999,18,8
МУЖСКОЙ,348,82,76,0,0,1,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,02.06.1999,2,6
МУЖСКОЙ,355,84,91,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.08.1999,27,8
ЖЕНСКИЙ,320,80,83,5,2,1,Курская обл,ГОРОД,17.04.1999,17,4
МУЖСКОЙ,341,86,91,0,0,2,Воронежская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,01.12.1998,1,12
МУЖСКОЙ,345,86,91,0,0,0,нет регионов,ГОРОД,13.02.2001,13,2
ЖЕНСКИЙ,342,88,88,0,0,1,Хабаровский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.06.1999,22,6
МУЖСКОЙ,270,76,86,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.01.2000,4,1
МУЖСКОЙ,319,86,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.04.2000,19,4
ЖЕНСКИЙ,325,90,88,5,2,2,Саратовская обл,ГОРОД,06.08.1999,6,8
МУЖСКОЙ,328,90,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.08.1999,18,8
МУЖСКОЙ,368,94,76,5,0,1,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,01.02.1999,1,2
МУЖСКОЙ,281,74,88,0,0,0,Нижегородская обл,ГОРОД,13.03.2000,13,3
МУЖСКОЙ,370,84,86,0,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,10.04.1999,10,4
МУЖСКОЙ,310,84,66,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.11.1999,9,11
ЖЕНСКИЙ,325,78,88,5,0,1,Нижегородская обл,ГОРОД,20.12.1999,20,12
ЖЕНСКИЙ,318,76,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.09.1999,27,9
ЖЕНСКИЙ,393,94,93,5,0,3,Московская обл,ГОРОД,02.08.1999,2,8
ЖЕНСКИЙ,312,82,83,5,0,2,Московская обл,ГОРОД,31.01.1999,31,1
МУЖСКОЙ,282,70,73,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.12.1998,12,12
МУЖСКОЙ,314,94,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.03.1999,25,3
МУЖСКОЙ,360,82,83,0,2,1,Калужская обл,ГОРОД,08.08.2000,8,8
ЖЕНСКИЙ,343,86,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.09.2000,8,9
ЖЕНСКИЙ,350,96,98,5,0,2,Ярославская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.01.2000,27,1
ЖЕНСКИЙ,324,86,91,5,0,2,Чувашская Респ,ГОРОД,12.02.1999,12,2
ЖЕНСКИЙ,297,76,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.10.1999,31,10
МУЖСКОЙ,376,100,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.04.1999,19,4
МУЖСКОЙ,273,78,83,0,0,1,Калужская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,21.01.2000,21,1
МУЖСКОЙ,302,88,81,0,0,2,Курганская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.06.1999,16,6
ЖЕНСКИЙ,390,98,93,5,0,2,Московская обл,ГОРОД,01.07.1999,1,7
МУЖСКОЙ,342,90,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.12.1999,14,12
МУЖСКОЙ,310,84,86,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.09.1999,17,9
ЖЕНСКИЙ,298,72,96,5,0,2,Магаданская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,11.05.2000,11,5
МУЖСКОЙ,386,96,88,0,0,2,Московская обл,ГОРОД,25.08.1999,25,8
МУЖСКОЙ,387,98,93,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.12.1999,11,12
МУЖСКОЙ,336,86,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.08.1999,16,8
ЖЕНСКИЙ,316,90,88,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.11.1999,18,11
ЖЕНСКИЙ,329,82,86,0,0,2,Московская обл,ГОРОД,01.10.1999,1,10
ЖЕНСКИЙ,362,78,93,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.10.1999,25,10
МУЖСКОЙ,346,88,83,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.08.1999,19,8
МУЖСКОЙ,354,84,73,0,0,1,Белгородская обл,ГОРОД,02.08.2000,2,8
МУЖСКОЙ,315,78,88,0,2,2,Московская обл,ГОРОД,17.11.1999,17,11
МУЖСКОЙ,326,94,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.10.1999,16,10
МУЖСКОЙ,339,78,96,5,2,1,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.11.1999,28,11
ЖЕНСКИЙ,325,99,78,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.03.2000,25,3
МУЖСКОЙ,310,78,88,0,0,3,Рязанская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,05.09.2000,5,9
МУЖСКОЙ,350,92,86,0,0,1,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.1999,4,9
ЖЕНСКИЙ,309,86,83,0,0,1,Волгоградская обл,ГОРОД,17.06.1999,17,6
ЖЕНСКИЙ,298,88,81,5,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.08.2000,20,8
МУЖСКОЙ,315,82,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.01.2000,2,1
МУЖСКОЙ,301,88,98,0,2,1,Воронежская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,27.10.1999,27,10
МУЖСКОЙ,352,88,88,5,0,2,Тульская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.04.1999,16,4
ЖЕНСКИЙ,249,76,78,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.06.1999,26,6
МУЖСКОЙ,335,88,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.05.1999,17,5
